name,marks
Student1,78
Student2,85
Student3,62
Student4,90
Student5,74
Student6,88
Student7,69
Student8,95
Student9,81
Student10,77
Student11,84
Student12,91
Student13,66
Student14,73
Student15,89
Student16,58
Student17,92
Student18,80
Student19,76
Student20,87
Student21,64
Student22,83
Student23,71
Student24,94
Student25,79
Student26,68
Student27,86
Student28,72
Student29,90
Student30,75
Student31,82
Student32,67
Student33,88
Student34,70
Student35,93
Student36,61
Student37,85
Student38,74
Student39,89
Student40,77
Student41,84
Student42,69
Student43,91
Student44,73
Student45,NA
Student46,66
Student47,87
Student48,72
Student49,95
Student50,78
